title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1948,"403 Wetmore Rd, Columbus, OH 43214",Columbus,OH,43214,2,2.0,1036,199000.0,156100.0,596.1962209772587,1403.6228876439254,1504,2,,https://www.zillow.com/homedetails/403-Wetmore-Rd-Columbus-OH-43214/33879179_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1923,"216 Orchard Ln, Columbus, OH 43214",Columbus,OH,43214,3,3.0,1210,365000.0,104100.0,397.59145806362994,1499.9247913969634,1600,8,,https://www.zillow.com/homedetails/216-Orchard-Ln-Columbus-OH-43214/33851771_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1928,"111 Richards Rd, Columbus, OH 43214",Columbus,OH,43214,3,2.0,1368,245000.0,156400.0,597.3420176863758,1499.675351019709,1600,47,"$30,000 (Dec 14)",https://www.zillow.com/homedetails/111-Richards-Rd-Columbus-OH-43214/33868568_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1947,"263 E Beaumont Rd, Columbus, OH 43214",Columbus,OH,43214,3,2.0,1158,249900.0,122500.0,467.86698955614474,1349.8669895561447,1450,69,"$5,000 (Oct 28)",https://www.zillow.com/homedetails/263-E-Beaumont-Rd-Columbus-OH-43214/33878905_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1923,"233 Glenmont Ave, Columbus, OH 43214",Columbus,OH,43214,4,3.0,2228,389900.0,220500.0,842.1605812010605,2099.9939145343938,2200,2,,https://www.zillow.com/homedetails/233-Glenmont-Ave-Columbus-OH-43214/33868702_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1928,"197 Brevoort Rd, Columbus, OH 43214",Columbus,OH,43214,3,2.0,1420,329000.0,151600.0,579.0092703405024,1649.8426036738358,1750,13,"$6,000 (Dec 14)",https://www.zillow.com/homedetails/197-Brevoort-Rd-Columbus-OH-43214/33859386_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1954,"508 Chase Rd, Columbus, OH 43214",Columbus,OH,43214,2,1.0,576,153900.0,89100.0,340.30162260777547,994.8516226077754,1095,28,"$5,000 (Dec 6)",https://www.zillow.com/homedetails/508-Chase-Rd-Columbus-OH-43214/33899190_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1923,"233 E North Broadway St, Columbus, OH 43214",Columbus,OH,43214,3,2.0,1732,344900.0,155300.0,593.1407630862799,1699.9740964196133,1800,28,,https://www.zillow.com/homedetails/233-E-North-Broadway-St-Columbus-OH-43214/33828738_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1925,"40 W Kanawha Ave, Columbus, OH 43214",Columbus,OH,43214,3,2.0,2074,179900.0,141400.0,540.0521822305213,1294.9355155638548,1395,530,,https://www.zillow.com/homedetails/40-W-Kanawha-Ave-Columbus-OH-43214/34061491_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1988,"5199 Buckeye Grv, Columbus, OH 43214",Columbus,OH,43214,3,3.0,2700,328900.0,194100.0,741.3304707987567,1849.9971374654233,1950,103,,https://www.zillow.com/homedetails/5199-Buckeye-Grv-Columbus-OH-43214/33944343_zpid/
