title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1961,"8779 Haverhill Ln, Cincinnati, OH 45236",Cincinnati,OH,45236,0,4.0,2875,399000.0,152900.0,583.974389413343,1799.974389413343,1900,1,,https://www.zillow.com/homedetails/8779-Haverhill-Ln-Cincinnati-OH-45236/34394716_zpid/
Condo for sale,CONDO,FOR_SALE,1969,"7752 Montgomery Rd UNIT 49, Cincinnati, OH 45236",Cincinnati,OH,45236,4,3.0,1438,125500.0,125500.0,479.3249566473156,1392.4916233139822,1600,2,,https://www.zillow.com/homedetails/7752-Montgomery-Rd-UNIT-49-Cincinnati-OH-45236/34397576_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1912,"4019 Deer Park Ave, Cincinnati, OH 45236",Cincinnati,OH,45236,3,2.0,1205,197000.0,124400.0,475.12370204721964,1249.957035380553,1350,9,,https://www.zillow.com/homedetails/4019-Deer-Park-Ave-Cincinnati-OH-45236/34408973_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1950,"6417 Elwynne Dr, Cincinnati, OH 45236",Cincinnati,OH,45236,3,3.0,1575,199900.0,133700.0,510.6434000298494,1299.810066696516,1400,10,,https://www.zillow.com/homedetails/6417-Elwynne-Dr-Cincinnati-OH-45236/34400030_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1945,"7309 Plainfield Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,4,2.0,2000,179900.0,140200.0,535.468995394053,1239.9023287273862,1340,13,,https://www.zillow.com/homedetails/7309-Plainfield-Rd-Cincinnati-OH-45236/34408808_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1932,"8207 Lake Ave, Cincinnati, OH 45236",Cincinnati,OH,45236,3,2.0,1629,179900.0,152900.0,583.974389413343,1299.8077227466763,1400,13,,https://www.zillow.com/homedetails/8207-Lake-Ave-Cincinnati-OH-45236/34407986_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1939,"28 Aldon Ln, Cincinnati, OH 45236",Cincinnati,OH,45236,4,3.0,1881,209000.0,172100.0,657.3053787968367,1499.63871213017,1600,13,,https://www.zillow.com/homedetails/28-Aldon-Ln-Cincinnati-OH-45236/34399699_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"4259 Glenway Ave, Cincinnati, OH 45236",Cincinnati,OH,45236,2,1.0,884,160000.0,128800.0,491.9287204476036,1194.6453871142703,1295,13,,https://www.zillow.com/homedetails/4259-Glenway-Ave-Cincinnati-OH-45236/34409248_zpid/
Townhouse for sale,TOWNHOUSE,FOR_SALE,2017,"4026 Creekside Pointe, Blue Ash, OH 45236",Blue Ash,OH,45236,2,3.0,,524900.0,22500.0,85.9347531837817,1394.8180865171153,1495,14,,https://www.zillow.com/homedetails/4026-Creekside-Pointe-Blue-Ash-OH-45236/2097900389_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1941,"4151 South Ave, Cincinnati, OH 45236",Cincinnati,OH,45236,3,2.0,1316,177000.0,143700.0,548.8366236670857,1299.8366236670859,1400,22,,https://www.zillow.com/homedetails/4151-South-Ave-Cincinnati-OH-45236/34400680_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1981,"2773 Maple Tree Ct, Cincinnati, OH 45236",Cincinnati,OH,45236,3,3.0,2082,227000.0,169600.0,647.7570728875278,1524.840406220861,1625,26,"$2,900 (Nov 15)",https://www.zillow.com/homedetails/2773-Maple-Tree-Ct-Cincinnati-OH-45236/34433292_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1939,"4508 Kugler Mill Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,3,2.0,1331,173000.0,173000.0,660.7427689241881,1433.5761022575214,1550,26,"$7,000 (Nov 13)",https://www.zillow.com/homedetails/4508-Kugler-Mill-Rd-Cincinnati-OH-45236/34396302_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1953,"8728 Wicklow Ave, Cincinnati, OH 45236",Cincinnati,OH,45236,4,1.0,1208,189000.0,117200.0,447.6245810284095,1199.6245810284095,1300,26,,https://www.zillow.com/homedetails/8728-Wicklow-Ave-Cincinnati-OH-45236/34398434_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1965,"6473 Westover Cir, Cincinnati, OH 45236",Cincinnati,OH,45236,4,4.0,3194,549000.0,397900.0,1519.7083685256327,3263.868368525633,3364,27,,https://www.zillow.com/homedetails/6473-Westover-Cir-Cincinnati-OH-45236/34394913_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"5121 Kugler Mill Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,4,4.0,1290,899900.0,-129300.0,-493.8383816294654,1499.9949517038679,1600,29,,https://www.zillow.com/homedetails/5121-Kugler-Mill-Rd-Cincinnati-OH-45236/34395268_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1916,"4040 O Leary Ave, Deer Park, OH 45236",Deer Park,OH,45236,2,1.0,986,99900.0,68800.0,262.7693786241858,787.9893786241856,888,30,"$5,000 (Nov 12)",https://www.zillow.com/homedetails/4040-O-Leary-Ave-Deer-Park-OH-45236/2082224578_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1948,"8524 Plainfield Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,3,2.0,1507,145000.0,145000.0,553.8017427399265,1241.7784094065933,1349,34,,https://www.zillow.com/homedetails/8524-Plainfield-Rd-Cincinnati-OH-45236/34396789_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1938,"6859 Elwynne Dr, Cincinnati, OH 45236",Cincinnati,OH,45236,3,3.0,1924,185000.0,139100.0,531.2677407939569,1294.6510741272905,1395,38,"$9,900 (Nov 22)",https://www.zillow.com/homedetails/6859-Elwynne-Dr-Cincinnati-OH-45236/34399802_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1954,"8467 Darnell Ave, Cincinnati, OH 45236",Cincinnati,OH,45236,4,2.0,1484,185000.0,150800.0,575.9538124495235,1349.787145782857,1450,42,,https://www.zillow.com/homedetails/8467-Darnell-Ave-Cincinnati-OH-45236/34398249_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1926,"7301 Plainfield Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,4,2.0,1904,217500.0,125000.0,477.4152954654538,1294.965295465454,1395,43,"$10,000 (Nov 13)",https://www.zillow.com/homedetails/7301-Plainfield-Rd-Cincinnati-OH-45236/34408809_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,2015,"7771 Glenover Dr, Cincinnati, OH 45236",Cincinnati,OH,45236,4,4.0,4000,775000.0,169000.0,645.4654794692935,2649.6321461359603,2750,44,,https://www.zillow.com/homedetails/7771-Glenover-Dr-Cincinnati-OH-45236/121373386_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1928,"6640 Kugler Mill Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,2,2.0,1680,279000.0,109800.0,419.3615955368546,1349.8615955368546,1450,46,,https://www.zillow.com/homedetails/6640-Kugler-Mill-Rd-Cincinnati-OH-45236/34394848_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1949,"7215 Virginia Ave, Cincinnati, OH 45236",Cincinnati,OH,45236,2,2.0,800,160000.0,119300.0,455.6451579922291,1149.8118246588958,1250,49,"$3,000 (Nov 18)",https://www.zillow.com/homedetails/7215-Virginia-Ave-Cincinnati-OH-45236/34408861_zpid/
Make Me Move®,SINGLE_FAMILY,MMM,1952,"8572 Donegal Dr, Cincinnati, OH 45236",Cincinnati,OH,45236,3,2.0,975,190000.0,134800.0,514.8446546299454,1284.6613212966122,1385,50,,https://www.zillow.com/homedetails/8572-Donegal-Dr-Cincinnati-OH-45236/34398236_zpid/
Condo for sale,CONDO,FOR_SALE,1995,"4221 Saint Andrews Pl, Cincinnati, OH 45236",Cincinnati,OH,45236,2,4.0,2180,305000.0,72100.0,275.37314242447377,1484.8564757578072,1585,54,"$5,000 (Nov 23)",https://www.zillow.com/homedetails/4221-Saint-Andrews-Pl-Cincinnati-OH-45236/295377152_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"4341 Clifford Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,3,1.0,1203,149900.0,134300.0,512.9349934480836,1199.768326781417,1300,57,"$10,000 (Oct 16)",https://www.zillow.com/homedetails/4341-Clifford-Rd-Cincinnati-OH-45236/34409080_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1938,"6706 Plainfield Rd, Cincinnati, OH 45236",Cincinnati,OH,45236,2,2.0,928,154000.0,111300.0,425.09057908244006,1099.7572457491067,1200,57,"$5,000 (Oct 6)",https://www.zillow.com/homedetails/6706-Plainfield-Rd-Cincinnati-OH-45236/34399847_zpid/
