title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1890,"536 Mount Hope Ave, Cincinnati, OH 45204",Cincinnati,OH,45204,2,2.0,1934,104900.0,104900.0,400.6469159546088,1012.4802492879421,1300,0,,https://www.zillow.com/homedetails/536-Mount-Hope-Ave-Cincinnati-OH-45204/34242558_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1902,"3316 Graydon Ave, Cincinnati, OH 45207",Cincinnati,OH,45207,0,,,130000.0,0,496.5119072840719,0,,0,,https://www.zillow.com/homedetails/3316-Graydon-Ave-Cincinnati-OH-45207/2081889223_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1903,"3604 Idlewild Ave, Cincinnati, OH 45207",Cincinnati,OH,45207,2,1.0,1161,59900.0,59900.0,228.77740958704547,713.3607429203788,1025,0,,https://www.zillow.com/homedetails/3604-Idlewild-Ave-Cincinnati-OH-45207/34219157_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1929,"1738 Andina Ave, Cincinnati, OH 45237",Cincinnati,OH,45237,2,4.0,1184,89500.0,89500.0,341.8293515532649,870.0460182199315,995,0,,https://www.zillow.com/homedetails/1738-Andina-Ave-Cincinnati-OH-45237/34231164_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"1635 Sutton Ave, Cincinnati, OH 45230",Cincinnati,OH,45230,3,2.0,1283,120000.0,111300.0,425.09057908244006,1029.7905790824402,1130,0,,https://www.zillow.com/homedetails/1635-Sutton-Ave-Cincinnati-OH-45230/34201094_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1936,"3724 Brotherton Rd, Cincinnati, OH 45209",Cincinnati,OH,45209,1,1.0,595,169900.0,40800.0,155.82835243992412,799.9950191065908,900,1,,https://www.zillow.com/homedetails/3724-Brotherton-Rd-Cincinnati-OH-45209/34216463_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1908,"4317 Verne Ave, Cincinnati, OH 45209",Cincinnati,OH,45209,2,2.0,1350,314900.0,104700.0,399.88305148186413,1399.7163848151974,1500,1,,https://www.zillow.com/homedetails/4317-Verne-Ave-Cincinnati-OH-45209/34215270_zpid/
Condo for sale,CONDO,FOR_SALE,1966,"810 Matson Pl UNIT 1603, Cincinnati, OH 45204",Cincinnati,OH,45204,2,2.0,1193,199000.0,57900.0,221.13876485959818,1199.805431526265,1300,1,,https://www.zillow.com/homedetails/810-Matson-Pl-UNIT-1603-Cincinnati-OH-45204/82326497_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1925,"1191 Coronado Ave, Cincinnati, OH 45238",Cincinnati,OH,45238,4,2.0,1479,115000.0,106100.0,405.2301027910772,994.9467694577438,1095,1,,https://www.zillow.com/homedetails/1191-Coronado-Ave-Cincinnati-OH-45238/34245774_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1926,"4974 Relleum Ave, Cincinnati, OH 45238",Cincinnati,OH,45238,3,2.0,1402,158000.0,109600.0,418.59773106410995,1099.9310643974432,1200,1,,https://www.zillow.com/homedetails/4974-Relleum-Ave-Cincinnati-OH-45238/34247402_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1900,"3836 Herron Ave, Cincinnati, OH 45223",Cincinnati,OH,45223,4,2.0,1984,85000.0,85000.0,324.6424009165086,884.3090675831753,1200,1,,https://www.zillow.com/homedetails/3836-Herron-Ave-Cincinnati-OH-45223/34248184_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1865,"453 Milton St, Cincinnati, OH 45202",Cincinnati,OH,45202,2,2.0,1478,395000.0,154600.0,590.4672374316733,1799.8005707650068,1900,1,,https://www.zillow.com/homedetails/453-Milton-St-Cincinnati-OH-45202/34222167_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1937,"1948 William Howard Taft Rd, Cincinnati, OH 45206",Cincinnati,OH,45206,0,5.0,862,550000.0,33900.0,129.47502813023107,1549.6416947968978,1650,1,,https://www.zillow.com/homedetails/1948-William-Howard-Taft-Rd-Cincinnati-OH-45206/34218341_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1899,"2817 W 8th St, Cincinnati, OH 45204",Cincinnati,OH,45204,2,1.0,1248,99900.0,99900.0,381.5503041359907,961.3003041359907,1175,1,,https://www.zillow.com/homedetails/2817-W-8th-St-Cincinnati-OH-45204/34242506_zpid/
Condo for sale,CONDO,FOR_SALE,1965,"5300 Hamilton Ave, Cincinnati, OH 45224",Cincinnati,OH,45224,1,1.0,630,59000.0,0,225.3400194596942,0,,1,,https://www.zillow.com/homedetails/5300-Hamilton-Ave-Cincinnati-OH-45224/170766043_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1910,"5307 Kenwood Rd, Cincinnati, OH 45227",Cincinnati,OH,45227,3,2.0,1893,119900.0,119900.0,457.9367514104633,1075.7700847437966,1200,1,,https://www.zillow.com/homedetails/5307-Kenwood-Rd-Cincinnati-OH-45227/34205276_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1915,"1626 Gilsey Ave, Cincinnati, OH 45205",Cincinnati,OH,45205,3,3.0,2146,89000.0,89000.0,339.9196903714031,856.7530237047364,1150,1,,https://www.zillow.com/homedetails/1626-Gilsey-Ave-Cincinnati-OH-45205/34246448_zpid/
Condo for sale,CONDO,FOR_SALE,1999,"3450 Golden Ave UNIT 9, Cincinnati, OH 45226",Cincinnati,OH,45226,3,4.0,2114,290000.0,186800.0,713.4494175435742,1994.8327508769075,2095,1,,https://www.zillow.com/homedetails/3450-Golden-Ave-UNIT-9-Cincinnati-OH-45226/51178373_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1931,"1931 Catalina Ave, Cincinnati, OH 45237",Cincinnati,OH,45237,3,2.0,1214,175000.0,70300.0,268.4983621697712,949.6650288364378,1050,1,,https://www.zillow.com/homedetails/1931-Catalina-Ave-Cincinnati-OH-45237/34236357_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1952,"5232 Highview Dr, Cincinnati, OH 45238",Cincinnati,OH,45238,2,2.0,1430,124900.0,124900.0,477.03336322908143,1120.3000298957481,1290,2,,https://www.zillow.com/homedetails/5232-Highview-Dr-Cincinnati-OH-45238/34245433_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1889,"959 Wells St, Cincinnati, OH 45205",Cincinnati,OH,45205,5,2.0,2160,99999.0,99999.0,381.92841704999927,995.0934170499993,1350,2,,https://www.zillow.com/homedetails/959-Wells-St-Cincinnati-OH-45205/34241070_zpid/
