title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,2007,"2335 Lane Woods Dr, Columbus, OH 43221",Columbus,OH,43221,5,8.0,12699,4499000.0,3058700.0,11682.161313921468,23937.7146472548,24038,51,,https://www.zillow.com/homedetails/2335-Lane-Woods-Dr-Columbus-OH-43221/87887943_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1927,"992 N Nelson Rd, Columbus, OH 43219",Columbus,OH,43219,3,3.0,2055,124900.0,124900.0,477.03336322908143,1113.460029895748,1254,28,"$25,000 (Nov 26)",https://www.zillow.com/homedetails/992-N-Nelson-Rd-Columbus-OH-43219/33874716_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1968,"2058 Prestwick Dr, Columbus, OH 43232",Columbus,OH,43232,3,3.0,1768,183900.0,130100.0,496.8938395204443,1249.8938395204443,1350,7,,https://www.zillow.com/homedetails/2058-Prestwick-Dr-Columbus-OH-43232/33925764_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1988,"147 Lake Bluff Dr, Columbus, OH 43235",Columbus,OH,43235,6,5.0,6313,795000.0,548400.0,2094.516384266039,4479.716384266039,4580,83,,https://www.zillow.com/homedetails/147-Lake-Bluff-Dr-Columbus-OH-43235/34124711_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1925,"2059 Floral Ave, Columbus, OH 43223",Columbus,OH,43223,3,2.0,1540,169900.0,52400.0,200.13249185911823,854.749158525785,955,18,,https://www.zillow.com/homedetails/2059-Floral-Ave-Columbus-OH-43223/33863789_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1993,"1400 Newell Ct, Columbus, OH 43228",Columbus,OH,43228,3,3.0,2181,269900.0,188000.0,718.0326043800425,1699.8659377133758,1800,5,,https://www.zillow.com/homedetails/1400-Newell-Ct-Columbus-OH-43228/34086359_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1959,"2579 Eakin Rd, Columbus, OH 43204",Columbus,OH,43204,3,2.0,1750,149900.0,70700.0,270.02609111526067,899.859424448594,1000,5,,https://www.zillow.com/homedetails/2579-Eakin-Rd-Columbus-OH-43204/33894315_zpid/
Condo for sale,CONDO,FOR_SALE,1998,"5574 Parkshire Dr, Columbus, OH 43229",Columbus,OH,43229,2,2.0,1058,98900.0,58100.0,221.9026293323429,994.7859626656763,1095,3,,https://www.zillow.com/homedetails/5574-Parkshire-Dr-Columbus-OH-43229/33949735_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1976,"2400 Olde Sawmill Blvd, Dublin, OH 43016",Dublin,OH,43016,3,3.0,2042,274900.0,249400.0,952.5389975126734,1999.7056641793401,2100,2,,https://www.zillow.com/homedetails/2400-Olde-Sawmill-Blvd-Dublin-OH-43016/34102355_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1872,"615 S 3rd St, Columbus, OH 43206",Columbus,OH,43206,4,3.0,3365,525000.0,359400.0,1372.6644575222729,3032.9344575222726,3133,305,"$20,000 (Dec 11)",https://www.zillow.com/homedetails/615-S-3rd-St-Columbus-OH-43206/33837257_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1983,"7752 Sagemeadow Ct, Columbus, OH 43235",Columbus,OH,43235,3,1.0,1198,198000.0,129200.0,493.45644939309307,1274.7064493930932,1375,77,"$2,000 (Dec 12)",https://www.zillow.com/homedetails/7752-Sagemeadow-Ct-Columbus-OH-43235/34122339_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1900,"596 S 6th St, Columbus, OH 43206",Columbus,OH,43206,3,3.0,2187,795000.0,570300.0,2178.1595440315864,4582.929544031587,4683,63,,https://www.zillow.com/homedetails/596-S-6th-St-Columbus-OH-43206/33825552_zpid/
Condo for sale,CONDO,FOR_SALE,1900,"135 Avondale Ave, Columbus, OH 43222",Columbus,OH,43222,1,1.0,2585,99000.0,11400.0,43.54027494644939,774.7902749464494,875,34,,https://www.zillow.com/homedetails/135-Avondale-Ave-Columbus-OH-43222/2082025316_zpid/
Condo for sale,CONDO,FOR_SALE,2007,"300 W Spring St # 1904, Columbus, OH 43215",Columbus,OH,43215,4,4.0,5474,2950000.0,2045800.0,7813.569691705803,16233.696358372472,16334,222,"$250,000 (Oct 24)",https://www.zillow.com/homedetails/300-W-Spring-St-1904-Columbus-OH-43215/87891640_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1948,"3886 Shattuck Ave, Columbus, OH 43220",Columbus,OH,43220,3,2.0,1800,229900.0,173600.0,663.0343623424222,1549.7010290090889,1650,30,,https://www.zillow.com/homedetails/3886-Shattuck-Ave-Columbus-OH-43220/33898230_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1900,"1004 Hunter Ave, Columbus, OH 43201",Columbus,OH,43201,2,2.0,1430,369900.0,144300.0,551.1282170853199,1699.6282170853199,1800,48,,https://www.zillow.com/homedetails/1004-Hunter-Ave-Columbus-OH-43201/33840726_zpid/
