title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
For sale by owner,LOT,FOR_SALE,1942,"2029 Eddystone Ave, Columbus, OH 43224",Columbus,OH,43224,2,,752,5700,5700,21.77013747,354.1701375,910,28,,https://www.zillow.com/homedetails/2029-Eddystone-Ave-Columbus-OH-43224/34027625_zpid/
For sale by owner,LOT,FOR_SALE,1929,"2107 Lamont Ave, Columbus, OH 43224",Columbus,OH,43224,2,,944,9100,9100,34.75583351,370.9225002,900,24,,https://www.zillow.com/homedetails/2107-Lamont-Ave-Columbus-OH-43224/34027780_zpid/
For sale by owner,MANUFACTURED,FOR_SALE,1996,"1400 Lark Dr, Columbus, OH 43219",Columbus,OH,43219,3,2,,19500,0,74.47678609,0,,18,,https://www.zillow.com/homedetails/1400-Lark-Dr-Columbus-OH-43219/2082297997_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1917,"869-871 E Starr Ave, Columbus, OH 43201",Columbus,OH,43201,0,,2392,19900,19900,76.00451504,468.1711817,1100,1,,https://www.zillow.com/homedetails/869-871-E-Starr-Ave-Columbus-OH-43201/33842914_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1910,"2729 Pontiac St, Columbus, OH 43211",Columbus,OH,43211,2,1,575,22000,22000,84.025092,457.9417587,775,16,"$4,000 (Oct 30)",https://www.zillow.com/homedetails/2729-Pontiac-St-Columbus-OH-43211/33869990_zpid/
For sale by owner,MANUFACTURED,FOR_SALE,-1,"755 Stelzer Rd LOT 150, Columbus, OH 43219",Columbus,OH,43219,3,2,,25000,0,95.48305909,0,,7,,https://www.zillow.com/homedetails/755-Stelzer-Rd-LOT-150-Columbus-OH-43219/2082160302_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1900,"212 Stevens Ave, Columbus, OH 43222",Columbus,OH,43222,2,1,761,29000,29000,110.7603485,519.1436819,895,26,,https://www.zillow.com/homedetails/212-Stevens-Ave-Columbus-OH-43222/33849777_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1930,"544 Cedarwood Rd, Columbus, OH 43207",Columbus,OH,43207,2,1,871,38000,38000,145.1342498,579.9175832,955,16,"$10,000 (Nov 5)",https://www.zillow.com/homedetails/544-Cedarwood-Rd-Columbus-OH-43207/33900490_zpid/
For sale by owner,LOT,FOR_SALE,1910,"558 Stewart Ave, Columbus, OH 43206",Columbus,OH,43206,3,,1123,40000,0,152.7728945,0,,9,,https://www.zillow.com/homedetails/558-Stewart-Ave-Columbus-OH-43206/33844377_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1900,"1416 Minnesota Ave, Columbus, OH 43211",Columbus,OH,43211,2,1,988,42500,42500,162.3212005,570.4045338,775,29,"$6,200 (Nov 8)",https://www.zillow.com/homedetails/1416-Minnesota-Ave-Columbus-OH-43211/33860119_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1923,"2961 E 7th Ave, Columbus, OH 43219",Columbus,OH,43219,2,1,864,44900,44900,171.4875741,578.8209075,750,1,,https://www.zillow.com/homedetails/2961-E-7th-Ave-Columbus-OH-43219/33838480_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1949,"2954 E 12th Ave, Columbus, OH 43219",Columbus,OH,43219,2,1,672,44900,44900,171.4875741,578.8209075,750,1,,https://www.zillow.com/homedetails/2954-E-12th-Ave-Columbus-OH-43219/33885316_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1951,"1574 Cordell Ave, Columbus, OH 43211",Columbus,OH,43211,2,1,672,44900,44900,171.4875741,588.3209075,800,17,,https://www.zillow.com/homedetails/1574-Cordell-Ave-Columbus-OH-43211/33861404_zpid/
