title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1957,"7225 Brantford Rd, Dayton, OH 45414",Dayton,OH,45414,3,2.0,2080,175000.0,148800.0,568.3151677220762,1319.7818343887432,1420,3,,https://www.zillow.com/homedetails/7225-Brantford-Rd-Dayton-OH-45414/34950841_zpid/
Foreclosure,SINGLE_FAMILY,FOR_SALE,1917,"610 Hodapp Ave, Dayton, OH 45410",Dayton,OH,45410,3,2.0,2291,27600.0,27600.0,105.4132972387722,521.9132972387722,950,12,,https://www.zillow.com/homedetails/610-Hodapp-Ave-Dayton-OH-45410/35085310_zpid/
Foreclosure,SINGLE_FAMILY,FOR_SALE,1930,"336 Jones St, Dayton, OH 45410",Dayton,OH,45410,3,3.0,2646,149900.0,149900.0,572.5164223221722,1552.8997556555057,2845,108,"$6,100 (Oct 28)",https://www.zillow.com/homedetails/336-Jones-St-Dayton-OH-45410/35079335_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1950,"1830 Shaftesbury Rd, Dayton, OH 45406",Dayton,OH,45406,3,2.0,1128,84900.0,56600.0,216.17364578675748,699.6736457867574,800,3,,https://www.zillow.com/homedetails/1830-Shaftesbury-Rd-Dayton-OH-45406/35122265_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1927,"1335 Tampa Ave, Dayton, OH 45417",Dayton,OH,45417,3,1.0,1082,5900.0,5900.0,22.53400194596942,369.6173352793028,775,11,,https://www.zillow.com/homedetails/1335-Tampa-Ave-Dayton-OH-45417/35099901_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1987,"3384 Sea Turtle Dr, Dayton, OH 45414",Dayton,OH,45414,4,3.0,2440,234500.0,189000.0,721.8519267437662,1631.7652600770994,1732,25,"$5,400 (Nov 17)",https://www.zillow.com/homedetails/3384-Sea-Turtle-Dr-Dayton-OH-45414/34953001_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1942,"1127 Croyden Dr, Dayton, OH 45420",Dayton,OH,45420,4,2.0,1995,129900.0,79400.0,303.2541956796563,899.7541956796563,1000,39,"$4,800 (Nov 10)",https://www.zillow.com/homedetails/1127-Croyden-Dr-Dayton-OH-45420/35111781_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2007,"3257 Cornwallis Ct, Dayton, OH 45414",Dayton,OH,45414,4,5.0,4067,367500.0,-34900.0,-133.2943504939547,849.7056495060453,950,6,,https://www.zillow.com/homedetails/3257-Cornwallis-Ct-Dayton-OH-45414/299820599_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1929,"2741 Kennedy Ave, Dayton, OH 45420",Dayton,OH,45420,2,1.0,1014,85000.0,75700.0,289.1227029338788,789.8893696005454,890,4,,https://www.zillow.com/homedetails/2741-Kennedy-Ave-Dayton-OH-45420/35112960_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1899,"115 Edgar Ave, Dayton, OH 45410",Dayton,OH,45410,3,1.0,1326,25000.0,25000.0,95.48305909309076,478.19972575975737,795,4,,https://www.zillow.com/homedetails/115-Edgar-Ave-Dayton-OH-45410/35083009_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1942,"1315 Ashland Ave, Dayton, OH 45420",Dayton,OH,45420,2,1.0,902,120000.0,62500.0,238.7076477327269,799.7076477327269,900,2,,https://www.zillow.com/homedetails/1315-Ashland-Ave-Dayton-OH-45420/35111426_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"6906 Emory Pl, Dayton, OH 45424",Dayton,OH,45424,4,3.0,3815,274900.0,221000.0,844.0702423829223,1865.776909049589,1966,152,,https://www.zillow.com/homedetails/6906-Emory-Pl-Dayton-OH-45424/71983072_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1920,"2454 King Ave, Dayton, OH 45420",Dayton,OH,45420,3,2.0,1464,33000.0,33000.0,126.0376380028798,551.5376380028798,950,19,"$22,000 (Nov 15)",https://www.zillow.com/homedetails/2454-King-Ave-Dayton-OH-45420/35112400_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"5325 Abby Loop Way, Dayton, OH 45414",Dayton,OH,45414,3,3.0,2196,179900.0,163600.0,624.8411387051859,1399.6744720385193,1500,4,,https://www.zillow.com/homedetails/5325-Abby-Loop-Way-Dayton-OH-45414/67567020_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1930,"2519 Springmont Ave, Dayton, OH 45420",Dayton,OH,45420,3,2.0,1575,102000.0,81000.0,309.36511146161405,849.8651114616141,950,4,,https://www.zillow.com/homedetails/2519-Springmont-Ave-Dayton-OH-45420/35113368_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1930,"100 E Beechwood Ave, Dayton, OH 45405",Dayton,OH,45405,3,2.0,1362,7999.0,7999.0,30.550759587425315,390.63242625409197,825,17,"$2,000 (Nov 15)",https://www.zillow.com/homedetails/100-E-Beechwood-Ave-Dayton-OH-45405/35091779_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1919,"1058 Demphle Ave, Dayton, OH 45410",Dayton,OH,45410,4,2.0,1248,63000.0,23800.0,90.8998722566224,499.8998722566224,600,3,,https://www.zillow.com/homedetails/1058-Demphle-Ave-Dayton-OH-45410/35080912_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1938,"306 W Norman Ave, Dayton, OH 45405",Dayton,OH,45405,3,2.0,1474,29900.0,29900.0,114.19773867533654,507.93107200866984,810,385,"$1,000 (Nov 4)",https://www.zillow.com/homedetails/306-W-Norman-Ave-Dayton-OH-45405/35103289_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1940,"320 E Fairview Ave, Dayton, OH 45405",Dayton,OH,45405,3,3.0,1301,50000.0,50000.0,190.96611818618152,621.9994515195149,830,5,,https://www.zillow.com/homedetails/320-E-Fairview-Ave-Dayton-OH-45405/35091475_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1905,"422 Oak St, Dayton, OH 45410",Dayton,OH,45410,1,1.0,1296,119900.0,52000.0,198.6047629136288,749.9380962469621,850,54,"$5,000 (Oct 27)",https://www.zillow.com/homedetails/422-Oak-St-Dayton-OH-45410/2082593015_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1955,"775 Ernroe Dr, Dayton, OH 45417",Dayton,OH,45417,5,2.0,1696,26900.0,26900.0,102.73977158416565,503.823104917499,875,1,,https://www.zillow.com/homedetails/775-Ernroe-Dr-Dayton-OH-45417/35109510_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1964,"2424 Weaver St, Dayton, OH 45417",Dayton,OH,45417,5,3.0,1279,95000.0,57500.0,219.61103591410875,724.6943692474421,825,4,,https://www.zillow.com/homedetails/2424-Weaver-St-Dayton-OH-45417/35110090_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1988,"6469 Brantford Rd, Dayton, OH 45414",Dayton,OH,45414,4,4.0,3445,429900.0,425700.0,1625.8855302371494,3149.8855302371494,3250,4,"$5,000 (Nov 18)",https://www.zillow.com/homedetails/6469-Brantford-Rd-Dayton-OH-45414/34951037_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2000,"6933 Greeley Ave, Dayton, OH 45424",Dayton,OH,45424,4,4.0,3017,269900.0,226400.0,864.6945831470299,1880.9179164803634,1981,15,,https://www.zillow.com/homedetails/6933-Greeley-Ave-Dayton-OH-45424/54843088_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1986,"7755 Peters Pike, Dayton, OH 45414",Dayton,OH,45414,4,4.0,3682,449900.0,409500.0,1564.0125079448267,3114.6958412781605,3215,331,,https://www.zillow.com/homedetails/7755-Peters-Pike-Dayton-OH-45414/61257463_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"7241 Brantford Rd, Dayton, OH 45414",Dayton,OH,45414,4,3.0,2994,269500.0,213200.0,814.279527945878,1817.8661946125449,1918,46,"$10,000 (Nov 12)",https://www.zillow.com/homedetails/7241-Brantford-Rd-Dayton-OH-45414/34951646_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2009,"5111 Rivers Edge Blvd, Dayton, OH 45414",Dayton,OH,45414,4,4.0,2130,179000.0,179000.0,683.6587031065299,1475.0420364398633,1595,15,,https://www.zillow.com/homedetails/5111-Rivers-Edge-Blvd-Dayton-OH-45414/111621869_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1953,"8630 Dog Leg Rd, Dayton, OH 45414",Dayton,OH,45414,3,2.0,1940,148000.0,148000.0,565.2597098310973,1263.176376497764,1375,148,"$2,000 (Nov 13)",https://www.zillow.com/homedetails/8630-Dog-Leg-Rd-Dayton-OH-45414/34951431_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1911,"112 Illinois Ave, Dayton, OH 45410",Dayton,OH,45410,4,2.0,1518,82900.0,82900.0,316.621823952689,820.5384906193557,925,48,"$5,000 (Oct 22)",https://www.zillow.com/homedetails/112-Illinois-Ave-Dayton-OH-45410/35083165_zpid/
