title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
For sale by owner,SINGLE_FAMILY,FOR_SALE,1962,"3465 Southern Blvd, Dayton, OH 45429",Dayton,OH,45429,3,3.0,2056,150000.0,118400.0,452.20776786487784,1124.957767864878,1225,44,"$29,000 (Nov 18)",https://www.zillow.com/homedetails/3465-Southern-Blvd-Dayton-OH-45429/35037444_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1947,"2952 Oakland Ave, Dayton, OH 45409",Dayton,OH,45409,3,2.0,1860,175000.0,139300.0,532.0316052667017,1274.9482719333685,1375,3,,https://www.zillow.com/homedetails/2952-Oakland-Ave-Dayton-OH-45409/35025799_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1957,"4570 W David Rd, Dayton, OH 45429",Dayton,OH,45429,4,3.0,2631,259000.0,250000.0,954.8305909309076,1969.7972575975746,2070,1,,https://www.zillow.com/homedetails/4570-W-David-Rd-Dayton-OH-45429/35030212_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1963,"4412 Wilmington Pike, Dayton, OH 45440",Dayton,OH,45440,3,2.0,1719,89900.0,89900.0,343.3570804987544,967.2404138320877,1495,6,,https://www.zillow.com/homedetails/4412-Wilmington-Pike-Dayton-OH-45440/35039541_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1943,"1272 Southlyn Dr, Dayton, OH 45409",Dayton,OH,45409,2,1.0,1010,119500.0,57400.0,219.22910367773636,774.645770344403,875,1,,https://www.zillow.com/homedetails/1272-Southlyn-Dr-Dayton-OH-45409/35026056_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1920,"3969 Applewood Ln, Dayton, OH 45429",Dayton,OH,45429,4,4.0,3738,500000.0,466100.0,1780.186153731584,3484.669487064917,3585,5,,https://www.zillow.com/homedetails/3969-Applewood-Ln-Dayton-OH-45429/35024615_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1955,"935 Gardner Rd, Kettering, OH 45429",Kettering,OH,45429,2,1.0,962,107000.0,84100.0,321.2050107891573,874.7883441224907,975,1,,https://www.zillow.com/homedetails/935-Gardner-Rd-Kettering-OH-45429/35032712_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1954,"4488 Sunray Rd, Dayton, OH 45429",Dayton,OH,45429,3,3.0,1642,145000.0,125800.0,480.47075335643274,1149.6374200230994,1250,15,,https://www.zillow.com/homedetails/4488-Sunray-Rd-Dayton-OH-45429/35030262_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1950,"3034 Aerial Ave, Dayton, OH 45429",Dayton,OH,45429,4,1.0,1386,159900.0,129900.0,496.1299750476996,1199.6299750476996,1300,7,,https://www.zillow.com/homedetails/3034-Aerial-Ave-Dayton-OH-45429/35029632_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1944,"1440 Cardington Rd, Dayton, OH 45409",Dayton,OH,45409,3,2.0,1257,80000.0,78900.0,301.3445344977944,794.7278678311277,895,24,,https://www.zillow.com/homedetails/1440-Cardington-Rd-Dayton-OH-45409/35025957_zpid/
Condo for sale,CONDO,FOR_SALE,1986,"503 Cottingwood Ct, Dayton, OH 45429",Dayton,OH,45429,2,2.0,1372,242500.0,17700.0,67.60200583790825,1099.768672504575,1200,1,,https://www.zillow.com/homedetails/503-Cottingwood-Ct-Dayton-OH-45429/35042625_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1952,"616 Hollendale Dr, Dayton, OH 45429",Dayton,OH,45429,3,2.0,1440,155000.0,132100.0,504.5324842478916,1199.865817581225,1300,11,,https://www.zillow.com/homedetails/616-Hollendale-Dr-Dayton-OH-45429/35031089_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1970,"6025 Millshire Dr, Dayton, OH 45459",Dayton,OH,45459,5,2.0,2655,235000.0,192600.0,735.6014872531712,1649.768153919838,1750,4,,https://www.zillow.com/homedetails/6025-Millshire-Dr-Dayton-OH-45459/35057074_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1947,"212 S Bromfield Rd, Dayton, OH 45429",Dayton,OH,45429,4,2.0,1656,129900.0,129900.0,496.1299750476996,1159.1299750476996,1350,165,,https://www.zillow.com/homedetails/212-S-Bromfield-Rd-Dayton-OH-45429/35027562_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1955,"3595 Hertland Dr, Dayton, OH 45439",Dayton,OH,45439,3,1.0,1040,120000.0,103900.0,396.82759359088516,994.8775935908851,1095,4,,https://www.zillow.com/homedetails/3595-Hertland-Dr-Dayton-OH-45439/35033764_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1962,"916 Ingersol Dr, Dayton, OH 45429",Dayton,OH,45429,4,3.0,1959,160000.0,145800.0,556.8572006309053,1274.773867297572,1375,7,,https://www.zillow.com/homedetails/916-Ingersol-Dr-Dayton-OH-45429/35038966_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1919,"1624 Carrollton Ave, Dayton, OH 45409",Dayton,OH,45409,3,2.0,1296,149900.0,133300.0,509.11567108436,1194.9990044176934,1295,7,,https://www.zillow.com/homedetails/1624-Carrollton-Ave-Dayton-OH-45409/35025451_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1943,"1142 Belvoir Ave, Dayton, OH 45409",Dayton,OH,45409,4,3.0,2172,250000.0,217900.0,832.2303430553791,1799.8970097220458,1900,28,"$15,000 (Nov 15)",https://www.zillow.com/homedetails/1142-Belvoir-Ave-Dayton-OH-45409/35030110_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1950,"2508 Hazelwood Ave, Kettering, OH 45419",Kettering,OH,45419,3,2.0,1008,132900.0,103600.0,395.68179688176815,1019.9817968817681,1120,62,"$7,000 (Oct 21)",https://www.zillow.com/homedetails/2508-Hazelwood-Ave-Kettering-OH-45419/35024767_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1952,"3841 Ackerman Blvd, Dayton, OH 45429",Dayton,OH,45429,3,1.0,1243,125000.0,125000.0,477.4152954654538,1121.7986287987871,1295,19,,https://www.zillow.com/homedetails/3841-Ackerman-Blvd-Dayton-OH-45429/35031367_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1948,"4691 Mad River Rd, Dayton, OH 45429",Dayton,OH,45429,4,3.0,2129,244000.0,189100.0,722.2338589801385,1651.7805256468052,1752,108,"$5,333 (Sep 14)",https://www.zillow.com/homedetails/4691-Mad-River-Rd-Dayton-OH-45429/35042260_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1963,"2321 Glenheath Dr, Dayton, OH 45440",Dayton,OH,45440,3,2.0,2080,189900.0,138100.0,527.4484184302333,1299.9484184302335,1400,96,"$10,000 (Oct 25)",https://www.zillow.com/homedetails/2321-Glenheath-Dr-Dayton-OH-45440/35038419_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1915,"1564 Bowman Ave, Dayton, OH 45409",Dayton,OH,45409,3,2.0,1379,124900.0,124900.0,477.03336322908143,1117.4500298957482,1275,42,,https://www.zillow.com/homedetails/1564-Bowman-Ave-Dayton-OH-45409/35025566_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"416 W David Rd, Dayton, OH 45429",Dayton,OH,45429,5,4.0,2404,299900.0,251500.0,960.5595744764931,2060.9829078098264,2161,71,,https://www.zillow.com/homedetails/416-W-David-Rd-Dayton-OH-45429/71979015_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1963,"2328 Glenheath Dr, Dayton, OH 45440",Dayton,OH,45440,4,2.0,1733,224900.0,144000.0,549.9824203762028,1399.815753709536,1500,3,,https://www.zillow.com/homedetails/2328-Glenheath-Dr-Dayton-OH-45440/35038411_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1920,"1598 Constance Ave, Dayton, OH 45409",Dayton,OH,45409,3,2.0,1464,159900.0,128900.0,492.31065268397595,1194.860652683976,1295,24,"$5,000 (Nov 13)",https://www.zillow.com/homedetails/1598-Constance-Ave-Dayton-OH-45409/35025629_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1999,"1228 Devon Ave, Dayton, OH 45429",Dayton,OH,45429,3,2.0,1344,214900.0,151100.0,577.0996091586405,1412.7362758253075,1513,18,"$3,000 (Nov 11)",https://www.zillow.com/homedetails/1228-Devon-Ave-Dayton-OH-45429/35042904_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1945,"1944 Malcom Dr, Dayton, OH 45420",Dayton,OH,45420,3,2.0,1008,105000.0,90300.0,344.88480944424384,899.8848094442438,1000,28,"$12,803 (Nov 6)",https://www.zillow.com/homedetails/1944-Malcom-Dr-Dayton-OH-45420/35030468_zpid/
